Firma_ID,Kullandıkları_Paket,Kayıt_Tarihi,Aylık_İçerik_Sayısı,Aylık_Gelir_TL,Churn_Durumu,Müşteri_Memnuniyeti_Skoru,Tahmini_API_Maliyeti_TL,Brüt_Kar_TL
CF-1000,Profesyonel,2024-11-17,51,1500,0,3,178.5,1321.5
CF-1001,Başlangıç,2024-05-31,92,650,1,5,322.0,328.0
CF-1002,Başlangıç,2025-05-10,41,650,1,8,143.5,506.5
CF-1003,Başlangıç,2024-06-14,41,650,1,6,143.5,506.5
CF-1004,Başlangıç,2024-06-19,95,650,0,6,332.5,317.5
CF-1005,Profesyonel,2025-12-03,46,1500,1,7,161.0,1339.0
CF-1006,Başlangıç,2024-08-25,74,650,1,7,259.0,391.0
CF-1007,Başlangıç,2025-09-19,61,650,0,8,213.5,436.5
CF-1008,Başlangıç,2025-07-29,35,650,0,2,122.5,527.5
CF-1009,Başlangıç,2025-04-03,17,650,0,1,59.5,590.5
CF-1010,Başlangıç,2024-06-10,21,650,0,1,73.5,576.5
CF-1011,Profesyonel,2024-08-25,37,1500,0,7,129.5,1370.5
CF-1012,Başlangıç,2024-08-08,49,650,0,6,171.5,478.5
CF-1013,Başlangıç,2024-02-01,85,650,0,9,297.5,352.5
CF-1014,Başlangıç,2025-02-10,69,650,0,2,241.5,408.5
CF-1015,Profesyonel,2025-11-02,31,1500,0,1,108.5,1391.5
CF-1016,Sınırsız,2024-12-08,87,4500,0,6,304.5,4195.5
CF-1017,Profesyonel,2024-01-05,31,1500,0,6,108.5,1391.5
CF-1018,Başlangıç,2024-06-28,60,650,0,8,210.0,440.0
CF-1019,Sınırsız,2024-03-18,56,4500,0,1,196.0,4304.0
CF-1020,Başlangıç,2025-12-21,25,650,0,7,87.5,562.5
CF-1021,Başlangıç,2024-01-20,33,650,0,4,115.5,534.5
CF-1022,Sınırsız,2024-09-13,79,4500,1,3,276.5,4223.5
CF-1023,Sınırsız,2024-12-09,68,4500,0,2,238.0,4262.0
CF-1024,Profesyonel,2024-02-08,10,1500,0,3,35.0,1465.0
CF-1025,Profesyonel,2025-02-01,2,1500,0,7,7.0,1493.0
CF-1026,Sınırsız,2024-12-31,12,4500,0,9,42.0,4458.0
CF-1027,Başlangıç,2024-06-13,99,650,1,6,346.5,303.5
CF-1028,Sınırsız,2025-11-16,60,4500,0,7,210.0,4290.0
CF-1029,Sınırsız,2024-02-25,50,4500,0,5,175.0,4325.0
CF-1030,Başlangıç,2025-12-03,94,650,0,2,329.0,321.0
CF-1031,Başlangıç,2025-02-08,53,650,0,2,185.5,464.5
CF-1032,Başlangıç,2025-04-20,91,650,1,4,318.5,331.5
CF-1033,Profesyonel,2025-01-26,52,1500,0,5,182.0,1318.0
CF-1034,Başlangıç,2025-06-15,8,650,0,6,28.0,622.0
CF-1035,Profesyonel,2025-06-01,23,1500,1,1,80.5,1419.5
CF-1036,Profesyonel,2025-06-08,61,1500,0,2,213.5,1286.5
CF-1037,Başlangıç,2024-12-15,53,650,0,3,185.5,464.5
CF-1038,Başlangıç,2024-07-19,23,650,0,1,80.5,569.5
